MPI ID Number,Risk Measure Type,Programme Type,Operator Business Name,Operator Trading Name,NZBN,Status,Effective Date,Expiry Date,Verification Agency,Is Suspended,Suspension Type,Suspension Start Date,Suspension End Date,Suspended Operations,Physical Address,Physical Town/City,Operator Local Authority,Number of Locations,Location Local Authority,Dairy ULIs,Fishing Vessel Name,Intended Use,Product/Material,Primary,Secondary Process,Market
"TAR3016/01","Risk Management Programme","Chicken producers","Lochiel Chickens Limited","","","Registered","2023-10-26","","Quality Consultants New Zealand Limited","No","","","","","198 Richmond Road, RD 3","New Plymouth","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TAR3019/01","Risk Management Programme","Chicken producers","T Salisbury Limited","Valley Poultry","9429046199393","Registered","2023-10-20","","Quality Consultants New Zealand Limited","No","","","","","181 Paraite Road, RD3, Bell Block","New Plymouth","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TAR3020/01","Risk Management Programme","Chicken producers","PJM and Estate of TM Paul","Paul Farm","","Registered","2023-10-27","","Quality Consultants New Zealand Limited","No","","","","","717 Mountain Road, RD 3","New Plymouth","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TAR3021/01","Risk Management Programme","Chicken producers","Hintz Family Trust Partnership","Siesta Farms","","Registered","2023-10-26","","Quality Consultants New Zealand Limited","No","","","","","335 Paraite Road,RD 3","New Plymouth","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TAR3022/01","Risk Management Programme","Chicken producers","Antrim Trust No 3","","","Registered","2023-10-09","","Quality Consultants New Zealand Limited","No","","","","","70 Kairau Road, RD 3","New Plymouth","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TAR3023/01","Risk Management Programme","Chicken producers","Paraite Poultry 2000 Limited","","9429037419509","Registered","2023-10-11","","Quality Consultants New Zealand Limited","No","","","","","216 Paraite Road, RD 3,","New Plymouth","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TAR3026/01","Risk Management Programme","Chicken producers","Karawhaka Poultry Limited","","9429033180892","Registered","2023-10-26","","Quality Consultants New Zealand Limited","No","","","","","75 Cross Road,RD3","New Plymouth","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TAR3027/01","Risk Management Programme","Chicken producers","Hernly Farm Limited","","9429034145470","Registered","2023-10-26","","Quality Consultants New Zealand Limited","No","","","","","242 Lower Durham Road, RD 8","Inglewood","New Plymouth District Council","2","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TAR3029/01","Risk Management Programme","Chicken producers","Whiterock AC5 Limited","","9429041715628","Registered","2023-10-25","","Quality Consultants New Zealand Limited","No","","","","","150 Bedford Road, RD6","Inglewood","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TAR3030/01","Risk Management Programme","Chicken producers","Bedrock Poultry Limited","","9429041487068","Registered","2023-10-27","","Quality Consultants New Zealand Limited","No","","","","","148 Bedford Road, RD6","Inglewood","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TAR3031/01","Risk Management Programme","Chicken producers","Mount View Limited","","9429032758139","Registered","2023-10-19","","Quality Consultants New Zealand Limited","No","","","","","266-268 Upper Durham Road,RD 8","Inglewood","New Plymouth District Council","2","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TAR3032/01","Risk Management Programme","Chicken producers","Almon Trust","Lahar Park","","Registered","2023-10-30","","Quality Consultants New Zealand Limited","No","","","","","1383 Devon Road,RD 42","Waitara","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TAR3033/01","Risk Management Programme","Chicken producers","Streamside Farm Limited","","9429034321430","Registered","2023-10-10","","Quality Consultants New Zealand Limited","No","","","","","266 Upper Durham Road, RD 8","Inglewood","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TAR3047/01","Risk Management Programme","Chicken producers","Amjak Limited","","9429049001983","Registered","2023-10-25","","Quality Consultants New Zealand Limited","No","","","","","1242 Devon Road, RD 3","New Plymouth","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TASGOLD1/01","Risk Management Programme","Bee Products Processing and Storage","C B & T B Rusbatch","Golden Apiaries","9429045788277","Registered","2025-10-10","","AsureQuality Limited","No","","","","","54 King Edward Street","Motueka","Tasman District Council","1","Tasman District Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Bee products, Beeswax, Honey, Pollen","","Blending/mixing, Collection, Drying/reduction of water activity, Extraction, Melting, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Retail sale, Transport",""
"TAW1/01","Risk Management Programme","Custom","Pharmazen Limited","Waitaki Biosciences","9429036735761","Registered","2024-05-15","","Ministry for Primary Industries - Verification Services","No","","","","","149 Hoskyns Road","Rolleston","Selwyn District Council","1","Selwyn District Council","N/A","N/A","Animal Consumption, Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Fats/oils, Fish, Red meat","","Blending/mixing, Blending/mixing;Formulation;Size reduction;Supplement manufacture, Blending/mixing;Formulation;Supplement manufacture, Formulation, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (processes & receives external product);Transport, Size reduction, Supplement manufacture, Transport",""
"TBE1/01","Risk Management Programme","Custom","Taranaki Bio Extracts Limited","","9429036645947","Registered","2018-11-13","","Ministry for Primary Industries - Verification Services","No","","","","","57 Kohiti Road","OKAIAWA","South Taranaki District Council","1","South Taranaki District Council","N/A","N/A","Animal Consumption, Human Consumption","Animal fat, Gel bone, Meat & bone meal, Meat meal, Red meat, Tallow","","Drying/reduction of water activity, Rendering, Size reduction, Thermal processing other than in-container retorting/UHT, Transport",""
"TBE1/02","Risk Management Programme","Custom","Taranaki Bio Extracts Limited","","9429036645947","Registered","2016-01-20","","Ministry for Primary Industries - Verification Services","No","","","","","57 Kohiti Road","OKAIAWA","South Taranaki District Council","1","South Taranaki District Council","N/A","N/A","Human Consumption","Fish, Poultry, Red meat","","Blending/mixing, Blending/mixing;Drying/reduction of water activity;Non-refrigerated storage (processes & receives external product);Refrigerated storage (processes & receives external product);Refrigeration;Size reduction;Thermal processing other than in-container retorting/UHT;Transport, Drying/reduction of water activity, Non-refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Thermal processing other than in-container retorting/UHT, Transport",""
"TBL15/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Taylor Bros Limited","","9429035106609","Registered","2015-11-26","","AsureQuality Limited","No","","","","","210 Rangiuru Road, RD 2","Te Puke","Western Bay Of Plenty District Council","1","Western Bay Of Plenty District Council","N/A","N/A","Human Consumption","Bee products, Beeswax, Honey","","Blending/mixing, Extraction, Melting, Non-refrigerated storage (processes & receives external product), Transport",""
"TBSL01/01","Risk Management Programme","Dual operator butcher","The Butcher Shoppe Limited","","9429042002406","Registered","2016-11-07","","Ministry for Primary Industries - Verification Services","No","","","","","Shop 18, 81 Paramount Parade, Tikipunga","Whangarei","Whangarei District Council","1","Whangarei District Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Fish, Poultry, Red meat","","Boning/cutting, Boning/cutting;Drying/reduction of water activity;Formulation;Refrigeration;Salting/curing/brining;Size reduction;Thermal processing other than in-container retorting/UHT, Dual Operator butchering, Formulation, Refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product);Refrigeration;Smoking;Thermal processing other than in-container retorting/UHT, Refrigeration, Size reduction, Smoking, Thermal processing other than in-container retorting/UHT",""
"TCB2012/01","Risk Management Programme","Farm dairies - Domestic supply","Ray Ridings and Jenny Ridings","Jeneraytions Farm","","Registered","2022-11-22","","AsureQuality Limited","No","","","","","15 Ridings Road","KEREPEHI","Hauraki District Council","1","Hauraki District Council","N/A","N/A","Animal Consumption, Human Consumption, Not for human or animal consumption","Dairy material","Farm Dairy","Collection",""
"TCVBCL08/01","Risk Management Programme","Dairy - Cheese domestic supply, Dairy - Liquid milk domestic supply, Dairy - Yoghurt domestic supply, Farm dairies - Export eligible milk","The Clevedon Valley Buffalo Company Limited","","9429033802763","Registered","2023-01-12","","FSQSNZ LIMITED","No","","","","","95 Elliot Street, Papakura","Auckland","Auckland Council","1","Auckland Council","TCVBCL08","N/A","Animal Consumption, Human Consumption, Sensitive Populations","Dairy material, Dairy products, Fermented milk products, Firm and hard cheese (MSNF < 60%), Milk & cream, Soft & semi-soft cheese (MSNF > 60%), Whey products","Farm Dairy","Acidification, Blending/mixing, Collection, Refrigerated storage (processes & receives external product), Refrigeration, Salting/curing/brining, Separation, Thermal processing other than in-container retorting/UHT, Transport",""
"TEAKATEA2/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Danny Russell & Gillian Russell","Te Akatea Apiaries","9429043696963","Registered","2018-05-15","","AsureQuality Limited","No","","","","","1952 Waingaro Road, RD 1","Ngaruawahia","Waikato District Council","1","Waikato District Council","N/A","N/A","Animal Consumption, Human Consumption","Bee products, Beeswax, Comb honey","","Blending/mixing, Melting, Non-refrigerated storage (processes & receives external product), Transport, Wrapping",""
"TEF1/01","Risk Management Programme","Eggs","Twyford Egg Farm Limited","","9429046857859","Registered","2021-12-07","","Ministry for Primary Industries - Verification Services","No","","","","","225 Twyford Road, RD 5","Hastings","Hastings District Council","1","Hastings District Council","N/A","N/A","Animal Consumption, Human Consumption, Not for human or animal consumption","Eggs, Rearer laying chickens","Candling, Candling;Grading;Harvesting;Packing, Chicken producer, Grading, Harvesting, Packing","",""
"TEGBROIL1/01","Risk Management Programme","Chicken producers","Tegel Foods Limited","","9429040443737","Registered","2023-09-25","","Quality Consultants New Zealand Limited","No","","","","","91-95 Paraite Road, Bell Block","New Plymouth","New Plymouth District Council","3","New Plymouth District Council","N/A","N/A","Animal Consumption, Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"TEGELEGG02/01","Risk Management Programme","Chicken producers, Eggs","Tegel Foods Limited","","9429040443737","Registered","2021-11-19","","VeritAg Limited","No","","","","","50 Spartan Road,Takanini","Auckland","Auckland Council","8","Auckland Council, Waikato District Council","N/A","N/A","Human Consumption, Not for human or animal consumption","Breeder chickens, Eggs, Fertile eggs","Candling, Chicken producer, Harvesting, Packing","",""
"TEGELEGG03/01","Risk Management Programme","Chicken producers, Eggs","Tegel Foods Limited","","9429040443737","Registered","2021-11-19","","VeritAg Limited","No","","","","","112 Carmen Road,Hornby","Christchurch","Christchurch City Council","17","Christchurch City Council, Selwyn District Council","N/A","N/A","Human Consumption, Not for human or animal consumption","Breeder chickens, Eggs, Fertile eggs","Candling, Chicken producer, Harvesting, Packing","Transport",""
"TEGHATCH01/01","Risk Management Programme","Chicken producers","Tegel Foods Limited","","9429040443737","Registered","2023-10-20","","Quality Consultants New Zealand Limited","No","","","","","[Private]","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Not for human or animal consumption","Day-old chicks","Chicken producer","",""
"TEGHATCH02/01","Risk Management Programme","Chicken producers","Tegel Foods Limited","","9429040443737","Registered","2023-10-12","","Quality Consultants New Zealand Limited","No","","","","","78 Brown Road","Waitara","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Day-old chicks","Chicken producer","",""
"TEGHATCH03/01","Risk Management Programme","Chicken producers","Tegel Foods Limited","","9429040443737","Registered","2023-10-24","","Quality Consultants New Zealand Limited","No","","","","","2 Produce Place, Islington","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Not for human or animal consumption","Day-old chicks","Chicken producer","",""
"TEHUAFARM1/01","Risk Management Programme","Dairy Products, Farm dairies - Domestic supply","Andrea Gauland","Little Farm Goat Dairy","9429045258695","Registered","2021-12-21","","FSQSNZ LIMITED","No","","","","","278 Browns Rock Road, RD 1","Oxford","Waimakariri District Council","1","Waimakariri District Council","TEHUAFARM1","N/A","Human Consumption","Dairy material, Dairy products, Fermented milk products, Firm and hard cheese (MSNF < 60%), Processed cheese, Soft & semi-soft cheese (MSNF > 60%)","Farm Dairy","Acidification, Blending/mixing, Collection, Refrigerated storage (processes & receives external product), Refrigeration, Separation, Thermal processing other than in-container retorting/UHT, Transport",""
"TEMATUKU1/01","Risk Management Programme","Custom","Te Matuku Oysters Limited","","9429041706015","Registered","2019-12-23","","Ministry for Primary Industries - Verification Services","No","","","","","13a Tahi Road, Ostend","Waiheke Island","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish","Live, Shucking","Refrigerated storage (processes & receives external product), Transport",""
"TEO1/01","Risk Management Programme","Custom","Tertiary Extracts Ōtautahi Limited","","9429051927837","Registered","2024-06-10","","Ministry for Primary Industries - Verification Services","No","","","","","30 Barton Street.,Woolston","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Gelatine, Hides & Skins, Wool - fibre","","Acidification, Drying/reduction of water activity, Extraction, Formulation, Hydrolysis, Industrial Use, Non-refrigerated storage (processes & receives external product);Packing/repacking;Refrigerated storage (processes & receives external product);Transport, Size reduction, Thermal processing other than in-container retorting/UHT",""
"TEPARE01/01","Risk Management Programme","Farm dairies - Domestic supply","Te Pare Farm Limited","","9429045891038","Registered","2020-01-15","","AsureQuality Limited","No","","","","","1403 Kahutara Road","Featherston","South Wairarapa District Council","1","South Wairarapa District Council","N/A","N/A","Human Consumption","Dairy material","Farm Dairy","Collection",""
"TEPL1/01","Risk Management Programme","Eggs","The Egg Place Limited","","9429043404490","Registered","2021-11-16","","Ministry for Primary Industries - Verification Services","No","","","","","177 Johnson Road, Pukehina","Te Puke","Western Bay Of Plenty District Council","1","Western Bay Of Plenty District Council","N/A","N/A","Animal Consumption, Human Consumption","Eggs","Candling, Grading, Harvesting, Packing","Collection, Washing",""
"TERRACE1/01","Risk Management Programme","Micro Abattoir","Royalburn Station Limited","","9429045976919","Registered","2024-08-20","","Ministry for Primary Industries - Verification Services","No","","","","","464 Crown Range Road,RD 1","Arrowtown","Queenstown-Lakes District Council","1","Queenstown-Lakes District Council","N/A","N/A","Human Consumption","Cattle, Red meat, Red offals, Sheep","Dressing, Dressing;Slaughter, Slaughter","Boning/cutting, Processing, Refrigeration",""
"TFCF661/01","Risk Management Programme","Eggs","J & B Bouma Bouma Holdings Limited","Full Circle Farm","9429051115937","Registered","2025-11-14","","FSQSNZ LIMITED","No","","","","","661 Hutchinson Road,RD1","Morrinsville","Waikato District Council","1","Waikato District Council","N/A","N/A","Human Consumption, Not for human or animal consumption","Eggs, Rearer laying chickens","Candling, Chicken producer, Harvesting, Packing","Transport",""
"TFGMC1/01","Risk Management Programme","Dual operator butcher","The Feel Good Meat Company Limited","Heritage Meat","9429051724184","Registered","2025-09-03","","FSQSNZ LIMITED","No","","","","","63 Rifle Range Road","Taupo","Taupo District Council","1","Taupo District Council","N/A","N/A","Human Consumption","Poultry, Red meat","","Boning/cutting, Boning/cutting;Formulation;Refrigerated storage (processes & receives external product);Refrigeration;Salting/curing/brining;Size reduction, Dual Operator butchering, Formulation, Refrigerated storage (processes & receives external product), Refrigeration, Salting/curing/brining, Size reduction",""
"THE01/01","Risk Management Programme","Custom","The Health Lab Limited","","9429048066112","Registered","2023-07-27","","Ministry for Primary Industries - Verification Services","No","","","","","44 Westpoint Drive, Hobsonville","Auckland","Auckland Council","1","Auckland Council","THE01","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Casein, Colostrum products, Dairy products, Deer Co-products, Deer Velvet, Eggs, Fish, Gelatine, Lactose, Milk powders, Non-AP, Nutritional powders excl IF & FOF, Whey products","","Blending/mixing, Blending/mixing;Encapsulation/tabletting;Formulation;Non-refrigerated storage (processes & receives external product);Packing/repacking, Blending/mixing;Encapsulation/tabletting;Formulation;Refrigerated storage (processes & receives external product);Thermal processing other than in-container retorting/UHT, Drying/reduction of water activity;Encapsulation/tabletting;Formulation, Encapsulation/tabletting, Encapsulation/tabletting;Formulation;Non-refrigerated storage (processes & receives external product);Packing/repacking;Refrigerated storage (processes & receives external product);Refrigeration;Thermal processing other than in-container retorting/UHT, Formulation, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Thermal processing other than in-container retorting/UHT",""
"THEEGGMAN1/01","Risk Management Programme","Eggs","Sangil Farms Limited","","9429048295451","Registered","2023-08-23","","Ministry for Primary Industries - Verification Services","No","","","","","69 Leeches Road","HORORATA","Selwyn District Council","1","Selwyn District Council","N/A","N/A","Human Consumption, Not for human or animal consumption","Eggs, Layer chickens, Rearer laying chickens","Candling, Chicken producer, Harvesting, Packing","Transport, Washing",""
"THNZ01/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Tasman Honey New Zealand Limited","","9429041866382","Registered","2022-04-27","","AsureQuality Limited","No","","","","","57 Baigent Valley Road, RD 1","Wakefield","Tasman District Council","1","Tasman District Council","N/A","N/A","Animal Consumption, Human Consumption","Bee products, Beeswax, Honey","","Blending/mixing, Extraction, Melting, Non-refrigerated storage (processes & receives external product), Transport",""
"THT3/01","Risk Management Programme","Bee products - Honey and dried pollen processing","The Honey Team New Zealand Limited","","9429042531012","Registered","2017-06-29","","Ministry for Primary Industries - Verification Services","No","","","","","27 Access Road","Kerikeri","Western Bay Of Plenty District Council","1","Western Bay Of Plenty District Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Bee products, Beeswax, Honey, Pollen","","Blending/mixing, Drying/reduction of water activity, Extraction, Melting, Mobile extraction, Non-refrigerated storage (processes & receives external product), Packing/repacking, Transport",""
"TINYS01/01","Risk Management Programme","Dual operator butcher","Flettscott Limited","Milton Butchery","9429052690440","Registered","2019-07-12","","Ministry for Primary Industries - Verification Services","No","","","","","112 Union Street","Milton","Clutha District Council","1","Clutha District Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Poultry, Red meat","","Blending/mixing, Blending/mixing;Boning/cutting;Formulation;Refrigeration, Boning/cutting, Dual Operator butchering, Formulation, Refrigeration, Salting/curing/brining, Size reduction, Smoking, Thermal processing other than in-container retorting/UHT",""
"TK19A/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Te Kapu Apiaries Limited","","9429034738405","Registered","2011-12-06","","Ministry for Primary Industries - Verification Services","No","","","","","19 Russell Parade, Frasertown","Wairoa","Wairoa District Council","1","Wairoa District Council","N/A","N/A","Human Consumption","Bee products, Beeswax, Honey","","Blending/mixing, Extraction, Melting, Transport",""
"TK251/01","Risk Management Programme","Custom","Aurora Fisheries Limited","","9429039192646","Registered","2025-07-17","","Ministry for Primary Industries - Verification Services","No","","","","","1 Ritchie Street","Timaru","Timaru District Council","1","Timaru District Council","N/A","Takapo","Human Consumption","Animal products (non-dairy), Crustaceans (including rock lobsters), Fish, Squid & other cephalopods","Filleting, Gutting, Heading, Tailing;Whole, Tubing, Washing, Whole","Formulation, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction",""
"TK829/01","Risk Management Programme","Custom","Sealord Group Limited","","9429040180434","Registered","2021-12-07","","Ministry for Primary Industries - Verification Services","No","","","","","149 Vickerman Street","Nelson","Nelson City Council","1","Nelson City Council","N/A","Tokatu","Animal Consumption, Human Consumption","Crustaceans (including rock lobsters), Fish, Fish meal, Fish oil, Squid & other cephalopods","Filleting, Gutting, Heading, Tailing;Whole, Tubing, Washing, Whole","Collection, Refrigeration, Rendering, Size reduction",""
"TKFR01/01","Risk Management Programme","Eggs","Mainland Poultry Limited","Natural Chicken Company Limited","9429038059292","Registered","2021-12-07","","Ministry for Primary Industries - Verification Services","No","","","","","RP 1540 McKerrow Road","WAIANAKARUA","Waitaki District Council","1","Waitaki District Council","N/A","N/A","Animal Consumption, Human Consumption, Not for human or animal consumption","Eggs, Layer chickens","Chicken producer, Harvesting","Collection, Transport",""
"TLFARMER1/01","Risk Management Programme","Dual operator butcher","The Local Farmer Limited","","9429049440898","Registered","2022-02-16","","Ministry for Primary Industries - Verification Services","No","","","","","69 Kahikatea Flat Road","Dairy Flat","Auckland Council","1","Auckland Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Red meat","","Blending/mixing, Blending/mixing;Boning/cutting;Refrigerated storage (processes & receives external product);Refrigeration;Salting/curing/brining;Size reduction;Smoking;Thermal processing other than in-container retorting/UHT, Boning/cutting, Dual Operator butchering, Refrigerated storage (processes & receives external product), Refrigeration, Retail sale, Size reduction, Thermal processing other than in-container retorting/UHT",""
"TM134/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Tim Mair Limited","","9429036620623","Registered","2016-08-25","","AsureQuality Limited","No","","","","","134 Henry Road, RD 3","Katikati","Far North District Council","1","Far North District Council","N/A","N/A","Human Consumption","Bee products, Beeswax, Honey","","Extraction, Melting, Non-refrigerated storage (processes & receives external product), Transport",""
"TMB2025/01","Risk Management Programme","Farm dairies - Domestic supply","Herd You're Busy Limited","The Milk Barn","9429030208322","Registered","2025-09-18","","FSQSNZ LIMITED","No","","","","","603A Campbell Road,Bunnythorpe","Palmerston North","Palmerston North City Council","1","Palmerston North City Council","N/A","N/A","Human Consumption","Dairy material, Milk & cream","Farm Dairy","Collection",""
"TMF1/01","Risk Management Programme","Dual operator butcher","The Meat Factory Limited","","9429030059412","Registered","2013-10-01","","Ministry for Primary Industries - Verification Services","No","","","","","27-29 Lyon Street","Kihikihi","Waipa District Council","1","Waipa District Council","N/A","N/A","Human Consumption","Red meat","","Dual Operator butchering",""
"TMW001/01","Risk Management Programme","Dual operator butcher","The Meat Warehouse Limited","","9429039159427","Registered","2015-04-28","","Ministry for Primary Industries - Verification Services","No","","","","","5 Wickham Street","Hamilton","Hamilton City Council","1","Hamilton City Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Fish, Poultry, Red meat","","Boning/cutting, Boning/cutting;Formulation;Salting/curing/brining;Size reduction;Thermal processing other than in-container retorting/UHT;Transport, Collection, Dual Operator butchering, Refrigerated storage (processes & receives external product), Size reduction, Transport",""
"TNZ1/01","Risk Management Programme","Custom","Turner New Zealand Limited","","9429039016812","Registered","2023-07-18","","Ministry for Primary Industries - Verification Services","No","","","","","6 Timandra Place","Blenheim","Marlborough District Council","1","Marlborough District Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Fish, Non-AP, Other animal products, Red meat","","Drying/reduction of water activity, Drying/reduction of water activity;Formulation;Refrigeration;Supplement manufacture, Extraction, Formulation, Industrial Use, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigeration, Supplement manufacture",""
"TONYS1/01","Risk Management Programme","Dual operator butcher","Tony Maxwell & Crystal Maxwell Partnership","Tonys Butchery","","Registered","2005-07-25","","Ministry for Primary Industries - Verification Services","No","","","","","91 Broadway","Kaikohe","Far North District Council","1","Far North District Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Red meat","","Boning/cutting, Collection;Formulation;Size reduction;Thermal processing other than in-container retorting/UHT, Dual Operator butchering, Formulation, Refrigeration, Salting/curing/brining, Size reduction, Smoking",""
"TOO45540/01","Risk Management Programme","Dairy - Liquid milk domestic supply, Dairy - Yoghurt domestic supply, Farm dairies - Domestic supply","Ados Limited","","9429035581727","Registered","2023-04-21","","AsureQuality Limited","No","","","","","141 Aranui Road, RD 5","Palmerston North","Palmerston North City Council","1","Palmerston North City Council","TOO45540","N/A","Human Consumption","Dairy material, Dairy products, Fermented milk products, Milk & cream","Farm Dairy","Blending/mixing, Collection, Refrigerated storage (processes & receives external product), Retail sale, Thermal processing other than in-container retorting/UHT, Transport",""
"TOTO999/01","Risk Management Programme","Stores - Cold and Dry","Totoniks Limited","","9429051952853","Registered","2025-04-16","","Ministry for Primary Industries - Verification Services","No","","","","","20/185 Kirk Road,Templeton","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Non-AP","","Non-refrigerated storage (stand-alone), Non-refrigerated storage (stand-alone);Transport, Repacking (product not exposed), Transport",""
"TPB2020/01","Risk Management Programme","Dual operator butcher","The Point Butcher Limited","","9429047854284","Registered","2020-10-07","","Ministry for Primary Industries - Verification Services","No","","","","","59-73 Main Road","Pleasant Point","Timaru District Council","1","Timaru District Council","N/A","N/A","Animal Consumption, Human Consumption","Red meat","","Boning/cutting, Boning/cutting;Refrigeration;Thermal processing other than in-container retorting/UHT, Formulation, Refrigeration, Salting/curing/brining, Size reduction, Thermal processing other than in-container retorting/UHT",""
"TPF01/01","Risk Management Programme","Custom","Taranaki P F Limited","","9429052271823","Registered","2019-03-20","","Ministry for Primary Industries - Verification Services","No","","","","","278 Surrey Hill Road, Oakura","New Plymouth","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Animal Consumption (Petfood)","Fish, Red meat","","Boning/cutting, Boning/cutting;Refrigerated storage (processes & receives external product);Refrigeration;Transport, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Transport",""
"TR01/01","Risk Management Programme","Chicken producers","Tree Range Limited","","9429051337735","Registered","2023-10-25","","VeritAg Limited","No","","","","","72 Waikerikeri Valley Road,RD1","Alexandra","Central Otago District Council","1","Central Otago District Council","N/A","N/A","Human Consumption, Not for human or animal consumption","Eggs, Layer chickens, Rearer laying chickens","Candling, Chicken producer, Harvesting, Packing","Transport",""
"TR2020/01","Risk Management Programme","Eggs","Te Rata Organics Limited","Te Rata Family Farm","9429036168330","Registered","2021-11-24","","Ministry for Primary Industries - Verification Services","No","","","","","280 Porter Road, RD 1","Paparoa","Kaipara District Council","1","Kaipara District Council","N/A","N/A","Animal Consumption, Human Consumption","Eggs","Candling, Harvesting, Packing","Collection",""
"TRANSAUCK1/01","Risk Management Programme","Stores - Cold and Dry","Transfreight Limited","","9429030924055","Registered","2020-06-02","","Ministry for Primary Industries - Verification Services","No","","","","","101 Cavendish Drive,Papatoetoe","Auckland","Auckland Council","1","Auckland Council","TRANSAUCK1","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Bee products, Dairy products, Fats/oils, Non-AP","","Depot, Depot;Non-refrigerated storage (stand-alone);Transport, Non-refrigerated storage (stand-alone), Non-refrigerated storage (stand-alone);Transport, Transport",""
"TRANSAUCK2/01","Risk Management Programme","Stores - Cold and Dry","Transfreight Limited","","9429030924055","Registered","2023-03-16","","Ministry for Primary Industries - Verification Services","No","","","","","35 Kaweroa Drive, Tauriko","Tauranga","Tauranga City Council","1","Tauranga City Council","TRANSAUCK2","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Bee products, Dairy products, Non-AP","","Non-refrigerated storage (stand-alone), Non-refrigerated storage (stand-alone);Transport, Transport",""
"TRANZ1/01","Risk Management Programme","Transport - Animal material and animal products","Tranznorth Limited","","9429037993719","Registered","2019-09-25","","Ministry for Primary Industries - Verification Services","No","","","","","16 Hewlett Street","Whangarei","Whangarei District Council","1","Whangarei District Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Dairy products, Non-AP","","Depot, Depot;Transport, Transport",""
