"Establishment number","Name of the operator","Location Address","Mailing Address","Function Codes","Telephone Number","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
858,"SUN RICH FRESH FOODS INC.","35 BRAMTREE COURT   BRAMPTON ON L6S 6G2","   "," 7Y",,43.745472,-79.711298,1,rooftop,"35 Bramtree Ct",,"Brampton, ON L6S",35,"Bramtree Ct",,,Brampton,ON,,L6S,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
859,"SHREE GANESH SAMOSAS","99 ABERDEEN ROAD UNIT 1   BRIDGEWATER NS B4V 2S7","   "," 6fx",,44.383217,-64.517382,1,rooftop,"99 Aberdeen Rd","Unit 1","Bridgewater, NS B4V",99,"Aberdeen Rd",Unit,1,Bridgewater,NS,,B4V,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
860,"ALZAHRAA HALAL MEAT INC.","210 SILVERSTAR BLVD. UNIT 865  SCARBOROUGH ON M1V 5J9","210 SILVERSTAR BLVD.   SCARBOROUGH ON M1V 5J9"," 6fx",,43.810494,-79.294025,1,rooftop,"210 Silver Star Blvd","Unit 865","Scarborough, ON M1V",210,"Silver Star Blvd",Unit,865,Scarborough,ON,,M1V,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
861,"7-ELEVEN CANADA; INC.","UNIT 30 #5 SCURFIELD BLVD.   WINNIPEG MB R3Y 1G3","   "," 6x",,49.819154,-97.181153,0.88,nearest_rooftop_match,"15 Scurfield Blvd","# 5","Winnipeg, MB R3Y",15,"Scurfield Blvd",#,5,Winnipeg,MB,,R3Y,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
862,"ALIMENTS SIBON FOODS INC.","3000 RUE DES FABRICANTS   TERREBONNE QC J6Y 2A6","3000 RUE DES FABRICANTS   TERREBONNE QC J6Y 2A6"," 6x",,45.714166,-73.714939,1,rooftop,"3000 Rue Des Fabricants",,"Terrebonne, QC J6Y",3000,"Rue Des Fabricants",,,Terrebonne,QC,,J6Y,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
S102,"VERSACOLD LOGISTICS SERVICES","836 CLIVEDEN AVENUE ANNACIS ISLAND  DELTA BC V3M 5R5","   "," 9B/US 10A 11S","(604) 521-5112 (604) 521-5542/F",49.17588,-122.937475,1,rooftop,"836 Cliveden Ave",,"Delta, BC V3M",836,"Cliveden Ave",,,Delta,BC,,V3M,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S103,"E V LOGISTICS","5016 - 272ND STREET   LANGLEY BC V4W 1S3","   "," 10A","(604) 857-6750 or(604) 857-6809 (604) 857-6801/F",49.093047,-122.467013,1,rooftop,"5016 272nd St",,"Langley, BC V4W",5016,"272nd St",,,Langley,BC,,V4W,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S104,"VERSACOLD LOGISTICS SERVICES","1588 CLIVEDEN AVENUE   DELTA BC V3M 6P1","   "," 9B/US 10A 11RS","(604) 216-6209 (604) 527-7066/F",49.164669,-122.968003,1,rooftop,"1588 Cliveden Ave",,"Delta, BC V3M",1588,"Cliveden Ave",,,Delta,BC,,V3M,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S108,"KLONDIKE COLD STORAGE LTD.","5775-272ND STREET   LANGLEY BC V4W 0B1","   "," 9B/US 10A 11S","(604)-626-4019 (604)-626-4061/F",49.106347,-122.472511,1,rooftop,"5775 272nd St",,"Langley, BC V4W",5775,"272nd St",,,Langley,BC,,V4W,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S109,"VERSACOLD LOGISTICS SERVICES","1188 DERWENT WAY   DELTA BC V3M 5R1","1188 DERWENT WAY;   ANNACIS ISLAND DELTA BC V3M 5R1"," 10A 11S","(604) 540-1040 (604) 540-9774/F",49.165928,-122.943047,1,rooftop,"1188 Derwent Way",,"Delta, BC V3M",1188,"Derwent Way",,,Delta,BC,,V3M,CA,"City of Delta (City of Delta Open Government License - Delta 1.0)"
S110,"VERSACOLD LOGISTICS SERVICES","31785 MARSHALL ROAD   ABBOTSFORD BC V2T 5Z8","2115 COMMISSIONER STREET   VANCOUVER BC V5L 1A6"," 9B 10A 11S","(604) 857-1265 (604) 854-1970/F",49.038472,-122.343646,1,rooftop,"31785 Marshall Rd",,"Abbotsford, BC V2T",31785,"Marshall Rd",,,Abbotsford,BC,,V2T,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S111,"PMC LOGISTICS INC.","7542 PROGRESS WAY   DELTA BC V4G 1E9","   "," 10AB 11S","(604) 940-9828 (604) 948-9838/F",49.135672,-123.013532,1,rooftop,"7542 Progress Way",,"Delta, BC V4G",7542,"Progress Way",,,Delta,BC,,V4G,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S113,"BRADNER COLD STORAGE","29020 FRASER HIGHWAY   ABBOTSFORD BC V4X 1G8","2325 BRADNER ROAD   ABBOTTSFORD BC V4X 1E2"," 10AB","(604) 856-3221 (604) 856-2209/F",49.056887,-122.419768,1,rooftop,"29020 Fraser Hwy",,"Abbotsford, BC V4X",29020,"Fraser Hwy",,,Abbotsford,BC,,V4X,CA,"City of Abbotsford (City of Abbotsford Contains information licenced under the Open Government Licence – City of Abbotsford.)"
S115,"COASTAL COLD STORAGE INC.","27417 GLOUCESTER WAY   LANGLEY BC V4W 3Z8","   "," 9BC/US 10AB","(604) 856-0090 (604) 856-3912/F",49.098167,-122.464645,1,rooftop,"27417 Gloucester Way",,"Langley, BC V4W",27417,"Gloucester Way",,,Langley,BC,,V4W,CA,"Langley (Township of Langley Open Government License – Township of Langley 2.0)"
S116,"EVER-COLD STORAGE LTD.","8368 RIVERBEND COURT   BURNABY BC V3N 5C9","   "," 9B/US 10A 11RS","(604) 526-7300 (604) 526-7309/F",49.189655,-122.967894,1,rooftop,"8368 Riverbend Ct",,"Burnaby, BC V3N",8368,"Riverbend Ct",,,Burnaby,BC,,V3N,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S121,"LEADER COLD STORAGE LTD.Also Doing Business As Name:   GENERAL LABELLERS LTD.","3900 VIKING WAY   RICHMOND BC V6V 1N6","   "," 9C/US 10AB","(604) 270-7652 (604) 270-7692/F",49.185706,-123.072218,1,rooftop,"3900 Viking Way",,"Richmond, BC V6V",3900,"Viking Way",,,Richmond,BC,,V6V,CA,Province
S124,"CANADIAN DRY STORAGE LTD.Also Doing Business As Name:   CDS COLD STORAGE : CDS GROUP OF COMPANIES","18351 MCCARTNEY WAY   RICHMOND BC V6W 0A1","   "," 9BC/US 10AB 11RSHI 12Y","(604) 279-0960 (604) 279-0956/F",49.155507,-123.019356,1,rooftop,"18351 McCartney Way",,"Richmond, BC V6W",18351,"McCartney Way",,,Richmond,BC,,V6W,CA,Province
S126,"FINE CHOICE FOODS LIMITED","23000 FRASERWOOD WAY; UNIT 135   RICHMOND BC V6V 3C7","23111 FRASERWOOD WAY   RICHMOND BC V6V 3B3"," 10AB","(604) 522-3110 (866) 372-7744/F",49.170355,-122.967579,1,rooftop,"23000 Fraserwood Way","Unit 135","Richmond, BC V6V",23000,"Fraserwood Way",Unit,135,Richmond,BC,,V6V,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S127,"BLUNDELL SEAFOODS LTD.","11351 RIVER ROAD   RICHMOND BC V6X 1Z6","11351 RIVER ROAD   RICHMOND BC V6X 1Z6"," 10AB","(604) 270-3300 (604) 270-6513/F",49.197496,-123.098283,1,rooftop,"11351 River Rd",,"Richmond, BC V6X",11351,"River Rd",,,Richmond,BC,,V6X,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S128,"HALLMARK POULTRY PROCESSORS LTD.","180 COMMERCIAL DRIVE   VANCOUVER BC V5L 0A3","1756 PANDORA ST.   VANCOUVER BC V5L 1M1"," 10A 11R","(604) 254-9885 (604) 254-7039/F",49.283332,-123.069294,1,rooftop,"180 Commercial Dr",,"Vancouver, BC V5L",180,"Commercial Dr",,,Vancouver,BC,,V5L,CA,Vancouver
S130,"LANGLEY COLD STORAGE","19195 33 AVENUE; UNIT 1   SURREY BC V3Z 1A1","20560 #106   LANGLEY BC V3A 6K8"," 9B/US 10A","(604) 530-1143 (604) 530-2278",49.062878,-122.692432,1,rooftop,"19195 33rd Ave","Unit 1","Surrey, BC V3Z",19195,"33rd Ave",Unit,1,Surrey,BC,,V3Z,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S132,"CANADIAN DRY STORAGE LTDAlso Doing Business As Name:   CDS GROUP OF COMPANIES;  CDS COLD STORAGE","18360 MCCARTNEY WAY   RICHMOND BC V6W 0A1","18351 MCCARTNEY WAY   RICHMOND BC V6W 0A1"," 10AB","(604) 279-0960 (   )    -",49.155031,-123.014969,1,rooftop,"18360 McCartney Way",,"Richmond, BC V6W",18360,"McCartney Way",,,Richmond,BC,,V6W,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S136,"TAS REFRIGERATED DISTRIBUTION INC.","8140 - 92ND STREET   DELTA BC V4G 0A4","4665 BOUL COTE VERTU   ST. LAURENT QC H4S 1C8"," 9BC/US 10A",,49.154717,-122.968547,1,rooftop,"8140 92nd St",,"Delta, BC V4G",8140,"92nd St",,,Delta,BC,,V4G,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S138,"CLOVERDALE COLD STORAGE LTD.","3177 188TH ST.   SURREY BC V3S 9V5","   "," 9B/US 10A","(604) 541-8271 (604) 541-8273/F",49.112816,-122.701707,0.7,street_center,"188th St",,"Surrey, BC V3S",,"188th St",,,Surrey,BC,,V3S,CA,"CanVec+ by Natural Resources Canada"
S144,"PB DISTRIBUTION INC.","19540 - 94TH AVENUE   SURREY BC V4N 4E5","   V6V 1X3"," 9BC/US 10AB","(604) 881-6529 (604) 881-6545/F",49.173412,-122.681596,1,rooftop,"19540 94th Ave",,"Surrey, BC V4N",19540,"94th Ave",,,Surrey,BC,,V4N,CA,"City of Surrey Open Government License - Surrey 2.0"
S145,"BRADNER COLD STORAGE LTD.","9087D 198 STREET UNITS 700 & 800  LANGLEY BC V1M 3B1","2325 BRADNER ROAD   ABBOTSFORD BC V4X 1E2"," 10AB","(604) 856-3221",49.167306,-122.674713,0.99,rooftop,"9087 198th St",800,"Langley, BC V1M",9087,"198th St",,800,Langley,BC,,V1M,CA,"Langley (Township of Langley Open Government License – Township of Langley 2.0)"
S148,"SONRAY SALES LTD.","#3 - 801 WEST 1ST STREET   NORTH VANCOUVER BC V7P 1A4","P.O. BOX 86368   NORTH VANCOUVER BC V7L 4K6"," 9C 10B","(604) 986-3401 (604) 985-6431/F",49.317642,-123.095253,0.85,rooftop,"801 W 1st St",,"North Vancouver, BC V7P",801,"W 1st St",,,"North Vancouver",BC,,V7P,CA,"City of North Vancouver"
S150,"VERSACOLD LOGISTICS SERVICESAlso Doing Business As Name:   ATLAS COLD STORAGE","19572-94TH AVENUE   SURREY BC V4N 4E5","   "," 9AB/US 10A 11RS","(604) 882-9098 (604) 882-9097/F",49.173402,-122.680437,1,rooftop,"19572 94th Ave",,"Surrey, BC V4N",19572,"94th Ave",,,Surrey,BC,,V4N,CA,"City of Surrey Open Government License - Surrey 2.0"
S201,"TCS ALBERTA INC.","12425 - 66 STREET NW   EDMONTON AB T5B 1K5","   "," 9BC/US 10AB","(780) 378-3310 (780) 477-8462/F",53.580872,-113.443011,1,place,,,"Edmonton, AB T5B",,,,,Edmonton,AB,,T5B,CA,"CanVec+ by Natural Resources Canada"
S206,"VERSACOLD LOGISTICS SERVICES","5555 - 78TH AVE S.E.   CALGARY AB T2C 4M4","   "," 9B/US 10A 11RSI 12Y","(403) 720-6312 (403) 720-6321/F",50.982832,-113.954365,1,rooftop,"5555 78th Ave SE",,"Calgary, AB T2C",5555,"78th Ave SE",,,Calgary,AB,,T2C,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S207,"CONESTOGA COLD STORAGE LIMITED","4767-27 STREET S.E.   CALGARY AB T2B 3M5","   "," 9B/US 10A","(403) 207-6766 (403) 248-1518/F",51.011752,-113.994304,1,place,,,"Calgary, AB T2B",,,,,Calgary,AB,,T2B,CA,"CanVec+ by Natural Resources Canada"
S208,"CONGEBEC INC.Also Doing Business As Name:   ERIE MEAT PRODUCTS LTD.","7576 - 51ST STREET S.E.   CALGARY AB T2C 4B4","3180 WHARTON WAY   MISSISSAUGA ON L4X 2C1"," 10A","(403) 441-6060 (403) 441-6062/F",50.986284,-113.959988,1,rooftop,"7576 51st St SE",,"Calgary, AB T2C",7576,"51st St SE",,,Calgary,AB,,T2C,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S212,"VERSACOLD LOGISTICS SERVICES","585 - 41 STREET NORTH   LETHBRIDGE AB T1H 6X9","P.O. BOX   LETHBRIDGE AB T1J 3Z6"," 9B/US 10A 11SIR","(403) 380-9934 (403) 320-1212/F (403) 380-9936/I",49.708338,-112.780398,1,place,,,"Lethbridge, AB T1H",,,,,Lethbridge,AB,,T1H,CA,"CanVec+ by Natural Resources Canada"
S213,"VERSACOLD LOGISTICS SERVICESAlso Doing Business As Name:   VERSACOLD","9002 - 20TH STREET   EDMONTON AB T6P 1K8","   "," 10A","(780) 464-7174 (780) 467-6278",53.523311,-113.375582,1,rooftop,"9002 20th St",,"Edmonton, AB T6P",9002,"20th St",,,Edmonton,AB,,T6P,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S215,"CALGARY COLD STORAGE LTD.","10559-46TH STREET S.E.   CALGARY AB T2C 5C2","   "," 9BC/US 10AB","(403) 723-3070 (403) 723-3077/F",50.959302,-113.96891,1,rooftop,"10559 46th St SE",,"Calgary, AB T2C",10559,"46th St SE",,,Calgary,AB,,T2C,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S216,"WALMART LOGISTICS MANAGEMENT ULC","261039 WAGON WHEEL CRESCENT   BALZAC AB T4A 0E2","   "," 9B 10AB","(403) 291-8500 (403) 291-8518/F",51.200428,-113.95008,1,rooftop,"261039 Wagon Wheel Cres",,"Rocky View County, AB T4A",261039,"Wagon Wheel Cres",,,"Rocky View County",AB,,T4A,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S216A,"JBS CANADA ULCAlso Doing Business As Name:   MOUNTAIN CREEK FARMS","3410A OGDEN ROAD S.E.   CALGARY AB T2G 4N5","   "," 10A","(403) 218-2241 (403) 264-3017/F",51.02695,-114.030744,1,place,,,"Calgary, AB T2G",,,,,Calgary,AB,,T2G,CA,"CanVec+ by Natural Resources Canada"
S217,"VERSACOLD LOGISTICS SERVICES","5600 - 76 AVENUE S.E.   CALGARY AB T2C 4N4","   "," 9C/US 10A 11I","(403) 216-2653 (403) 216-5600/F (403) 216-5601/F",50.985261,-113.954159,1,place,,,"Calgary, AB T2C",,,,,Calgary,AB,,T2C,CA,"CanVec+ by Natural Resources Canada"
S220,"955503 ALBERTA LTD.Also Doing Business As Name:   NOSSACK DISTRIBUTION CENTER","#100-7240 JOHNSTON DRIVE   RED DEER AB T4P 3Y6","   "," 10AB","(403) 346-5006 (403) 343-8066/F",52.298784,-113.849546,0.85,rooftop,"7240 Johnstone Dr",,"St. Albert, AB T4P",7240,"Johnstone Dr",,,"St. Albert",AB,,T4P,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S224,"VERSACOLD LOGISTICS SERVICES","3925 BRANDON STREET S.E.   CALGARY AB T2G 4A7","   "," 10A 11SI","(403) 243-1821 (403) 243-6522/F",51.018643,-114.053281,1,rooftop,"3925 Brandon St SE",,"Calgary, AB T2G",3925,"Brandon St SE",,,Calgary,AB,,T2G,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S226,"TAS REFRIGERATED DISTRIBUTION INC./DISTRIBUTION R�FRIG�R�E INC.","4060 - 78TH AVE S.E.   CALGARY AB T2C 2L8","   "," 9BC/US 10A","(514) 337-4665 (514) 337-4660/F",50.98252,-113.977669,1,rooftop,"4060 78th Ave SE",,"Calgary, AB T2C",4060,"78th Ave SE",,,Calgary,AB,,T2C,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S228,"VERSACOLD GROUP SERVICESAlso Doing Business As Name:   VERSACOLD LOGISTICS","12536-62ND STREET   EDMONTON AB T5W 0Y5","2115 COMMISSIONER STREET   VANCOUVER BC V5L 1A6"," 9BC/US 10A 11H","(780) 447-4000 (780) 474-4204/F",53.581317,-113.438331,1,rooftop,"12536 62nd St NW",,"Edmonton, AB T5W",12536,"62nd St NW",,,Edmonton,AB,,T5W,CA,"City of Edmonton (City of Edmonton Open Government License - City of Edmonton 1.0)"
S231,"NOVA COLD LOGISTICS ULC","10401 46 STREET SE EASTLAKE INDUSTRIAL CENTRE  CALGARY AB T2C 2X9","10401 46TH STREET SE EASTLAKE INDUSTRIAL CENTRE  CALGARY AB T2C 2X9"," 9B/US 10A","(403) 236-5557 (403) 236-5158/F",50.962648,-113.968903,0.85,nearest_rooftop_match,"10351 46th St SE",,"Calgary, AB T2C",10351,"46th St SE",,,Calgary,AB,,T2C,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S233,"VERSACOLD GROUP SERVICES ULCAlso Doing Business As Name:   VERSACOLD","7405 - 127 AVE.   EDMONTON AB T5C 1R9","   "," 10A","(780) 478-8561 (780) 475-6399/F",53.58466,-113.461945,1,place,,,"Edmonton, AB T5C",,,,,Edmonton,AB,,T5C,CA,"CanVec+ by Natural Resources Canada"
S234,"CLAUSON-COLD AND COOLER LTD.","2423A-2ND AVENUE S.E.   CALGARY AB T2E 6K1","   "," 9C/US 10A 11RIH 12Y","(403) 248-9808 (403) 273-3691/F (403) 273-7989/I",51.050632,-114.005109,0.99,rooftop,"2423 2nd Ave SE",,"Calgary, AB T2E",2423,"2nd Ave SE",,,Calgary,AB,,T2E,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S239,"CONG�BEC INC.","5500-72 AVE. SE   CALGARY AB T2C 4X5","   "," 9BC/US 10AB 11SI","(418) 683-3491 (418) 686-8836/F",50.989668,-113.952397,1,place,,,"Calgary, AB T2C",,,,,Calgary,AB,,T2C,CA,"CanVec+ by Natural Resources Canada"
S301,"TA FOODS LTD.","15 LAURIER AVENUE   YORKTON SK S3N 0L8","120 MYRTLE AVENUE   YORKTON SK S3N 1R1"," 10A","(306) 782-8804/T (306) 782-8801/F",51.209489,-102.468622,0.91,nearest_rooftop_match,"16 Laurier Ave",,"Yorkton, SK S3N",16,"Laurier Ave",,,Yorkton,SK,,S3N,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S305,"FRESH PACK FREEZERS 2010","1701 - 16TH STREET WEST   SASKATOON SK S7M 5J5","   "," 9BC/US 10AB 11R","(306) 652-9982 (306) 665-5573/F (306) 975-5848/I",52.119845,-106.696535,1,rooftop,"1701 16th St W",,"Saskatoon, SK S7M",1701,"16th St W",,,Saskatoon,SK,,S7M,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S307,"MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   MAPLE LEAF FOODS/LES ALIMENTS MAPLE LEAF : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER : J.M. SCHNEIDER : MITCHELL'S GOURMET FOODS : HUB MEAT PACKERS : LARSEN PACKERS : COLD SPRINGS FARMS : MAPLE LEAF POTATOES : HUB MEATS/LES VIANDES HUB : CAPPOLA FOOD : THAMES VALLEY PROCESSORS","1015-64TH STREET EAST   SASKATOON SK S7P 0A8","6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1"," 10AB","(306) 667-2600 (306) 653-4951/F (306) 975-5848/I",52.191685,-106.640789,1,rooftop,"1015 64th St E",,"Saskatoon, SK S7P",1015,"64th St E",,,Saskatoon,SK,,S7P,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S360,"CONG�BEC INC.Also Doing Business As Name:   WESTCO A DIVISION OF CONG�BEC INC.; CONG�BEC; CONGEBEC","810-60TH STREET E.   SASKATOON SK S7K 8G8","810 AVENUE GODIN   QUEBEC QC G1M 2X9"," 9B/US 10AB 11RS","(306) 933-9300 (306) 933-9488/F (306) 975-5848/I",52.187611,-106.657788,1,rooftop,"810 60th St E",,"Saskatoon, SK S7K",810,"60th St E",,,Saskatoon,SK,,S7K,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S402,"FREEZERCO INC.","106 MILL STREET   NEEPAWA MB R0J 1H0","P.O. BOX 10000   NEEPAWA MB R0J 1H0"," 10A 11RSI","(204) 476-2608 (204) 476-2278/F",50.229966,-99.472675,1,rooftop,"106 Mill St",,"Neepawa, MB R0J",106,"Mill St",,,Neepawa,MB,,R0J,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S404,"VERSACOLD LOGISTICS SERVICES","200 DAWSON ROAD N.   WINNIPEG MB R2J 0S7","   "," 9B/US 10A 11RSI","(204) 233-0237 (204) 237-6650/F",49.888818,-97.09341,1,rooftop,"200 Dawson Rd N",,"Winnipeg, MB R2J",200,"Dawson Rd N",,,Winnipeg,MB,,R2J,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S406,"MENNONITE CENTRAL COMMITTEE CANADAAlso Doing Business As Name:   MCC MATERIAL RESOURCE CENTER","231 RAILWAY AVENUE   PLUM COULEE MB R0G 1R0","231 RAILWAY AVENUE   PLUM COULEE MB R0G 1R0"," 10B","(204) 829-3005 (204) 829-7746/F",49.189432,-97.75578,1,range_interpolation,"231 Railway Ave S",,"Plum Coulee, MB R0G",231,"Railway Ave S",,,"Plum Coulee",MB,,R0G,CA,"Address Ranges"
S409,"4372795 MB LTD.","101 HUTCHINGS STREET; UNIT 66   WINNIPEG MB R2X 2V4","1434 CHURCH AVE   WINNIPEG MB R2X 1G4"," 10AB","(204) 633-7054 (204) 694-0708F",49.938227,-97.181078,1,rooftop,"101 Hutchings St","Unit 66","Winnipeg, MB R2X",101,"Hutchings St",Unit,66,Winnipeg,MB,,R2X,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S413,"CONG�BEC INC.Also Doing Business As Name:   CONGEBEC; WESTCO A DIVISION OF CONGEBEC; CONG�BEC; WESTCO MULTITEMP DISTRIBUTION CENTRES INC.","1555 CHEVRIER BLVD.   WINNIPEG MB R3T 1Y7","   "," 9BC/US 10AB 11RSI 12Y","(204) 475-5570 (204) 284-6273/F Ext. 312/I",49.824577,-97.175639,1,rooftop,"1555 Chevrier Blvd",,"Winnipeg, MB R3T",1555,"Chevrier Blvd",,,Winnipeg,MB,,R3T,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S426,"ICEBERG COLD STORAGE LTD.","870 BRADFORD STREET   WINNIPEG MB R3H 0N5","   "," 10A 11R","(204) 783-6133 (204) 783-7483/F",49.903835,-97.204439,0.94,nearest_rooftop_match,"872 Bradford St",,"Winnipeg, MB R3H",872,"Bradford St",,,Winnipeg,MB,,R3H,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
S501,"CANADIAN AMERICAN BOXED MEAT CORP.Also Doing Business As Name:   CANAM MEATS","6905 KENDERRY GATE UNITS 2 & 3  MISSISSAUGA ON L5T 2Y8","   "," 9B/US 10A","(905) 949-8882 (905) 949-1851/F",43.650611,-79.696765,1,rooftop,"6905 Kenderry Gate",3,"Mississauga, ON L5T",6905,"Kenderry Gate",,3,Mississauga,ON,,L5T,CA,"Peel Region"
S502,"VERSACOLD LOGISTICS CANADA INC./LOGISTIQUE VERSACOLD CANADA INC.Also Doing Business As Name:   ATLAS COLD STORAGE","1377 THE QUEENSWAY AVENUE   TORONTO ON M8Z 1T1","2115 COMMISSIONER STREET   VANCOUVER BC V5L 1A6"," 9BC/US 10AB","(416) 259-6273 (416) 259-3776/F",43.619317,-79.529238,1,rooftop,"1377 The Queensway",,"Etobicoke, ON M8Z",1377,"The Queensway",,,Etobicoke,ON,,M8Z,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
S505,"J & L COLD STORAGE LIMITED","LOT 2; CONCESSION 5   GREENOCK TOWNSHIP ON N0G 1K0","R.R. #1   CHEPSTOW ON N0G 1K0"," 10A 11R","(519) 881-2718 (519) 881-2781/I (519) 881-0035/F",44.14079,-81.437069,1,range_interpolation,"2 Concession 5",,"Holyrood, ON N0G",2,"Concession 5",,,Holyrood,ON,,N0G,CA,"Address Ranges"
S506,"ROMAN CHEESE PRODUCTS LIMITED","7730 CANADIAN DRIVE   NIAGARA FALLS ON L2E 6S5","7770 CANADIAN DRIVE   NIAGARA FALLS ON L2E 6S5"," 10AB","(905) 356-2639 (905) 357-7793/F",43.06367,-79.125432,0.85,nearest_rooftop_match,"7770 Canadian Dr",,"Niagara Falls, ON L2H",7770,"Canadian Dr",,,"Niagara Falls",ON,,L2H,CA,"City of Niagara Falls (Open Government License 2.0 (Niagara Region) Contains information licensed under the Open Government Licence - Niagara Region)"
